Dengue Cases-Chennai City Alone ,
Month ,"Avg. Dengue Cases  
(2011-2021)
"
,
Jan,21.3
Feb,6.4
Mar,4.3
Apr,4.9
May,5.1
Jun,9
Jul,11.3
Aug,24.5
Sep,54.2
Oct,84.4
Nov,75.3
Dec,40.7
Total,341.4
