Dengue Dashboard,,,,,,
,,,,,,
Week ,2024,2025,,,,
1,34,27,,,,
2,10,51,,,,
3,33,41,,,,
4,37,37,,,,
5,13,31,,,,
6,13,16,,,,
7,13,34,,,,
8,11,31,,,,
9,13,17,,,,
10,6,15,,,,
11,5,28,,,,
12,7,24,,,,
13,6,12,,,,
14,10,17,,,,
15,6,10,,,,
16,11,15,,,,
17,13,15,,,,
18,27,20,,,,
19,46,5,,,,
20,33,7,,,,
21,36,7,,,,
22,17,6,,,,
23,17,4,,,,
24,31,5,,,,
25,19,135,,,,
26,24,225,,,,
27,28,304,,,,
28,45,325,,,,
29,31,203,,,,
30,75,1194,,,,
31,599,900,,,,
32,550,1052,,,,
33,753,1000,,,,
34,850,1060,,,,
35,1000,1077,,,,
36,1066,1250,,,,
37,2130,1388,,,,
38,2759,125,,,,
39,3278,1658,,,,
40,4071,1800,,,,
41,3500,1761,,,,
42,3650,2150,,,,
43,3889,2323,,,,
44,4354,2766,,,,
45,4380,2900,,,,
46,4418,3515,,,,
47,3987,3396,,,,
48,3314,3020,,,,
49,2401,2237,,,,
50,1714,1700,,,,
51,870,1493,,,,
52,164,774,,,,
53,None,104,,,,
