Loxtion,Month,Avg Tin,Unnamed: 3,Unnamed: 4,Predicted_Cases,Lower,Upper
Chennai,July,29.51171053,,,946.9405051376186,11.0,13304.0
Chennai,August,29.55381579,,,947.4663187739823,11.0,13304.0
Chennai,September,29.26381579,,,1079.6205051376187,11.0,13304.0
Chennai,October,28.20592105,,,85.54294388336643,7.595,371.0
Ahmedabad,July,30.47571053,,,863.8027140120776,11.995833333333334,13304.0
Ahmedabad,August,29.19071053,,,1104.7511718042854,11.0,13304.0
Ahmedabad,September,30.5065,,,863.8027140120776,11.995833333333334,13304.0
Ahmedabad,October,30.94413158,,,863.7067140120776,11.995833333333334,13304.0
Delhi,July,31.46275,,,863.7067140120776,11.995833333333334,13304.0
Delhi,August,31.61932895,,,863.7067140120776,11.995833333333334,13304.0
Delhi,September,31.24485526,,,863.7067140120776,11.995833333333334,13304.0
Delhi,October,29.72775,,,943.6482949644585,11.870833333333335,13304.0
