time,relative_humidity_2m_mean (%),precipitation_sum (mm),temperature_2m_max (°C),temperature_2m_mean (°C),temperature_2m_min (°C)
2024-02-09T00:00,63,0,24.6,18.8,14.2
2024-02-10T00:00,69,0,26,19.5,13.9
2024-02-11T00:00,69,0,27.1,20.8,15.5
2024-02-12T00:00,63,0,27.9,21.9,17.2
2024-02-13T00:00,62,0,28.2,22.1,16.7
2024-02-14T00:00,63,0,28.2,22.7,18
2024-02-15T00:00,68,0.6,29,23.4,19
2024-02-16T00:00,73,0,28.2,23.3,19.2
2024-02-17T00:00,67,0,27.8,22.3,17.4
2024-02-18T00:00,63,0,27.8,21.8,15.6
2024-02-19T00:00,65,0,28.6,23,17.5
2024-02-20T00:00,82,0.6,27.8,23.4,19.1
2024-02-21T00:00,77,0.2,31,25.4,21.8
2024-02-22T00:00,86,12,28.4,23.8,21.8
2024-02-23T00:00,78,18.6,26.6,23.1,20.6
2024-02-24T00:00,70,0.2,28.5,23.3,18.2
2024-02-25T00:00,66,0,25.6,22.3,19.4
2024-02-26T00:00,62,0,29.1,22.4,16.7
2024-02-27T00:00,56,0,28.6,22.9,18.3
2024-02-28T00:00,60,0,29.7,23.9,18.7
2024-02-29T00:00,58,0,30.2,24.3,18.2
2024-03-01T00:00,59,0,30.1,23.8,17.5
2024-03-02T00:00,57,0,30.4,24.1,17.8
2024-03-03T00:00,58,0,31.1,24.7,19
2024-03-04T00:00,68,0,28.5,24.4,21.1
2024-03-05T00:00,68,0,30.3,25.3,21
2024-03-06T00:00,53,0,29.8,24.4,19.3
2024-03-07T00:00,57,0,29.4,22.9,16.6
2024-03-08T00:00,56,0,30.5,23.8,17.6
2024-03-09T00:00,51,0,30.3,24,18.1
2024-03-10T00:00,44,0,30.2,24.1,18.2
2024-03-11T00:00,48,0,31.2,24.4,17.7
2024-03-12T00:00,60,0,32.4,25.5,18.6
2024-03-13T00:00,67,1.2,32.2,27.2,22.3
2024-03-14T00:00,79,3.4,30.9,26.8,23.6
2024-03-15T00:00,72,0.3,33,27.6,23
2024-03-16T00:00,68,0.1,32.9,27.9,23.2
2024-03-17T00:00,63,0,33.9,28.1,23.4
2024-03-18T00:00,69,0,32.4,27.6,23.1
2024-03-19T00:00,67,0,32.9,27.8,23.4
2024-03-20T00:00,78,5.5,26.3,24,21.4
2024-03-21T00:00,71,0.1,27.5,23.2,19.8
2024-03-22T00:00,72,1.2,28.1,23.3,19.2
2024-03-23T00:00,70,0.4,31.6,25.8,21.1
2024-03-24T00:00,77,13,31.7,26,21.6
2024-03-25T00:00,78,10.4,30.1,26,22.2
2024-03-26T00:00,71,9.7,30.9,26,21.8
2024-03-27T00:00,70,1.8,32.9,27.3,22.2
2024-03-28T00:00,81,26.1,30.3,25.9,22.9
2024-03-29T00:00,79,0.8,31.1,26.8,22.6
2024-03-30T00:00,79,1.3,32.9,28.8,24.9
2024-03-31T00:00,80,19.2,31.3,28.1,25.3
2024-04-01T00:00,68,0,37.5,30.6,25.9
2024-04-02T00:00,72,0,35.7,30.2,26.3
2024-04-03T00:00,71,0,35.9,30.6,26.7
2024-04-04T00:00,73,0,36.2,30.4,25.9
2024-04-05T00:00,75,0,35.3,30.6,26.9
2024-04-06T00:00,74,0,37.2,31.5,27.7
2024-04-07T00:00,80,0.2,34,29.6,26.9
2024-04-08T00:00,70,0,31.9,28.1,24.9
2024-04-09T00:00,61,0,36.1,28.8,22.6
2024-04-10T00:00,64,0,35.4,28.8,23.1
2024-04-11T00:00,65,0,36.2,29.2,23.3
2024-04-12T00:00,57,0,36.9,30.4,24.9
2024-04-13T00:00,53,0,37.8,31.2,25
2024-04-14T00:00,57,0.5,37.5,31.4,25.3
2024-04-15T00:00,56,0,37.5,32.1,26.5
2024-04-16T00:00,62,0.4,38.8,31.6,26.9
2024-04-17T00:00,73,0.8,38.2,30.8,26.2
2024-04-18T00:00,68,0,37.1,31.3,26.2
2024-04-19T00:00,63,0,40.9,32.6,27.4
2024-04-20T00:00,61,0,41.6,33.4,27.7
2024-04-21T00:00,68,0,39.7,32.7,28.5
2024-04-22T00:00,65,0,39.6,32.9,28.4
2024-04-23T00:00,66,0,39.2,32.5,27.2
2024-04-24T00:00,61,0.5,39.9,32.4,27.2
2024-04-25T00:00,64,0,40.7,32.8,27.4
2024-04-26T00:00,68,0,40,32.4,27.4
2024-04-27T00:00,67,0,39.4,32.7,28.1
2024-04-28T00:00,67,0,40.6,33.2,28.7
2024-04-29T00:00,65,0,41.1,33.7,28.8
2024-04-30T00:00,69,0.1,40.9,33.1,28
2024-05-01T00:00,66,0,40.4,33.4,28.7
2024-05-02T00:00,71,5.1,37,31.9,28.9
2024-05-03T00:00,65,0.7,39.1,31.8,26.4
2024-05-04T00:00,70,6.6,36,31.1,26.1
2024-05-05T00:00,72,11.3,36.9,30.5,25.6
2024-05-06T00:00,82,21.9,29.6,26.1,23.3
2024-05-07T00:00,70,0.4,33.2,27.6,22.8
2024-05-08T00:00,74,2.6,29,27,24.3
2024-05-09T00:00,71,1.6,32.9,28.3,24
2024-05-10T00:00,70,3.8,33.7,28.9,24.6
2024-05-11T00:00,78,13.8,30.9,27.3,25
2024-05-12T00:00,75,0.4,34.3,28.8,25
2024-05-13T00:00,72,0.4,34.8,29.8,25.1
2024-05-14T00:00,69,0.2,35.3,30.9,26.7
2024-05-15T00:00,70,0.5,35.8,31.5,27.3
2024-05-16T00:00,67,0.2,36.7,32.2,27.7
2024-05-17T00:00,68,0,37.5,32.3,27.7
2024-05-18T00:00,77,4.1,34.9,30.8,28.3
2024-05-19T00:00,76,0,35.6,30.6,27.1
2024-05-20T00:00,77,0.6,34.8,30,26.4
2024-05-21T00:00,71,0,35.4,30.3,25.6
2024-05-22T00:00,70,0.2,35.1,31.3,27.5
2024-05-23T00:00,67,0,37.3,32.3,27.7
2024-05-24T00:00,66,0.2,38.2,33,27.9
2024-05-25T00:00,68,0.5,38.7,33.1,28.7
2024-05-26T00:00,76,3.6,34.7,30.6,28.2
2024-05-27T00:00,91,155.7,28.5,26.8,25.9
2024-05-28T00:00,85,115.7,33.5,28.3,25.3
2024-05-29T00:00,82,2.6,34.9,31.1,28.5
2024-05-30T00:00,78,0.5,35.2,31.7,29.3
2024-05-31T00:00,80,1.3,33.9,30.8,28.7
2024-06-01T00:00,76,0.1,36.1,31.6,27.9
2024-06-02T00:00,80,4.7,34.4,30.3,28.4
2024-06-03T00:00,82,7.1,32.9,29.5,27.3
2024-06-04T00:00,79,3.1,34.1,30.1,27.1
2024-06-05T00:00,76,0.3,34.9,31.1,27.6
2024-06-06T00:00,79,5,34.1,30.8,27.7
2024-06-07T00:00,82,18.3,33.4,30.4,28.3
2024-06-08T00:00,81,1.8,34.3,30.8,27.4
2024-06-09T00:00,81,1.1,34.2,31,28.6
2024-06-10T00:00,83,1.1,34,30.8,28.3
2024-06-11T00:00,78,0,35.6,31.3,28
2024-06-12T00:00,79,10.7,35.1,31,28.3
2024-06-13T00:00,84,26.7,33.2,29.8,27.6
2024-06-14T00:00,84,6.4,32.3,29.7,27.6
2024-06-15T00:00,85,13.9,32.2,30.2,28.4
2024-06-16T00:00,82,19.2,33.8,30.5,28
2024-06-17T00:00,84,11.3,32.6,30.4,28.6
2024-06-18T00:00,82,6.4,33.9,30.8,29.1
2024-06-19T00:00,89,25.5,29.8,28.6,27.4
2024-06-20T00:00,88,8.8,31.3,28.4,26.4
2024-06-21T00:00,83,8.8,33.4,29.4,26.9
2024-06-22T00:00,83,13.9,32.9,29.7,27.2
2024-06-23T00:00,79,0.5,33.7,30.6,27.6
2024-06-24T00:00,74,1.1,35.4,31.4,28.2
2024-06-25T00:00,74,0.5,35.4,31.5,28.2
2024-06-26T00:00,80,4,34,30.6,28.5
2024-06-27T00:00,80,1,33.3,30.3,28.1
2024-06-28T00:00,87,18.9,31.3,28.7,27.2
2024-06-29T00:00,90,23.1,29.7,28.4,27.1
2024-06-30T00:00,90,29.1,30.7,28.5,27.2
2024-07-01T00:00,92,40.9,29.7,28,26.9
2024-07-02T00:00,92,37,30.5,27.9,26.7
2024-07-03T00:00,90,8.3,30,27.6,26.4
2024-07-04T00:00,89,9.7,30.5,28.1,26.4
2024-07-05T00:00,91,15.5,29.4,27.8,26.8
2024-07-06T00:00,85,2.7,32.1,28.8,26.7
2024-07-07T00:00,80,0.3,33.3,29.8,27
2024-07-08T00:00,80,0.6,33,30,27.4
2024-07-09T00:00,83,5.9,32.9,29.7,27.4
2024-07-10T00:00,84,6.1,33.5,29.6,27.6
2024-07-11T00:00,83,5.3,33.9,29.7,27.6
2024-07-12T00:00,88,7.6,29.8,28.3,27
2024-07-13T00:00,83,3.4,32.9,29.3,26.6
2024-07-14T00:00,79,1.2,33.4,30.3,27.6
2024-07-15T00:00,76,0,34.4,30.8,27.9
2024-07-16T00:00,78,0.2,33.1,30.2,27.9
2024-07-17T00:00,77,0,34.5,31,27.7
2024-07-18T00:00,77,5.3,35.6,31.5,28.4
2024-07-19T00:00,74,0.9,35.1,31.1,28.2
2024-07-20T00:00,76,0.6,33.1,30.3,27.9
2024-07-21T00:00,83,3,32.5,29.3,27.5
2024-07-22T00:00,85,9,31.7,29,27.2
2024-07-23T00:00,86,4.4,30.8,28.4,26.8
2024-07-24T00:00,84,5,33.1,29.3,26.9
2024-07-25T00:00,80,1.2,34.4,30.5,27.4
2024-07-26T00:00,77,1,34.1,30.4,28.1
2024-07-27T00:00,76,0.3,33.8,30.7,28.4
2024-07-28T00:00,76,0.4,34.3,30.8,28
2024-07-29T00:00,78,0.7,33.7,30.2,28
2024-07-30T00:00,84,8.4,32.6,29.2,27.1
2024-07-31T00:00,86,24.4,32.7,29.2,27.3
2024-08-01T00:00,91,38.1,29.2,27.2,26.1
2024-08-02T00:00,93,30.5,29,27,26.2
2024-08-03T00:00,92,23.8,29.3,27.4,26.3
2024-08-04T00:00,87,8,32.2,28.6,26.2
2024-08-05T00:00,86,9.9,31.8,29,26.8
2024-08-06T00:00,84,9.9,32.7,29,26.6
2024-08-07T00:00,85,8.7,32,28.6,26.5
2024-08-08T00:00,87,10.7,29.9,28.1,26.5
2024-08-09T00:00,87,14.2,30.1,28,26.2
2024-08-10T00:00,88,10.6,30.5,28.1,26.4
2024-08-11T00:00,88,9.4,31.2,28.5,26.5
2024-08-12T00:00,86,9.8,32.4,29,26.9
2024-08-13T00:00,83,10.8,33.5,29.6,26.8
2024-08-14T00:00,81,4.3,34.1,30.2,27.2
2024-08-15T00:00,79,1.1,34.5,30.4,27.4
2024-08-16T00:00,81,3.8,32.7,29.3,27.3
2024-08-17T00:00,85,4.1,29.2,27.7,26.4
2024-08-18T00:00,87,16.7,30.2,27.5,25.7
2024-08-19T00:00,91,17.1,28.8,26.8,25.8
2024-08-20T00:00,89,14.8,30.6,27.9,26
2024-08-21T00:00,93,54.4,28.6,27.4,26.5
2024-08-22T00:00,91,24.7,29.4,27.5,26.4
2024-08-23T00:00,90,13,29.7,27.5,26.1
2024-08-24T00:00,86,16.2,31.4,28.3,26.1
2024-08-25T00:00,88,50.1,30.4,27.2,25.7
2024-08-26T00:00,88,6.5,28.4,26.7,25.8
2024-08-27T00:00,83,4.3,31.3,28.4,25.9
2024-08-28T00:00,81,0.3,32.4,29.3,26.6
2024-08-29T00:00,76,1.7,34.2,30.3,26.9
2024-08-30T00:00,79,12.2,33.9,30.2,26.9
2024-08-31T00:00,77,0.6,33.7,30.3,27.6
2024-09-01T00:00,82,1.4,31.9,29.3,27
2024-09-02T00:00,82,8.2,33.6,29.9,27.3
2024-09-03T00:00,85,8.3,31.1,28.8,26.7
2024-09-04T00:00,80,4.1,33.9,29.9,26.6
2024-09-05T00:00,82,9.3,33.3,29.5,26.7
2024-09-06T00:00,82,4.9,34.2,30.6,27.3
2024-09-07T00:00,82,10.4,34.2,30.4,26.9
2024-09-08T00:00,78,2.9,34.7,30.8,27.7
2024-09-09T00:00,77,0.5,34.3,30.6,27.6
2024-09-10T00:00,79,1.1,34,30.3,27.5
2024-09-11T00:00,80,2.8,34.3,30.4,27.5
2024-09-12T00:00,81,19.2,34.6,30.5,27.5
2024-09-13T00:00,74,3.3,34.6,30.5,28.4
2024-09-14T00:00,90,44.1,28.7,26.2,25.6
2024-09-15T00:00,90,9.7,27.6,26.5,25.7
2024-09-16T00:00,84,4.1,31.6,28.2,25.8
2024-09-17T00:00,80,0.3,33.6,29.6,26.1
2024-09-18T00:00,77,0.6,34.7,30.7,27.1
2024-09-19T00:00,76,2.2,35.7,31.6,28.3
2024-09-20T00:00,74,0.6,36.5,32.4,28.8
2024-09-21T00:00,81,1.8,35.4,31.5,28.7
2024-09-22T00:00,79,0,35.6,31.2,26.5
2024-09-23T00:00,83,1.7,34.3,31.6,29.2
2024-09-24T00:00,83,21.8,33.5,29.3,27.4
2024-09-25T00:00,89,16.8,28.3,27.1,25.7
2024-09-26T00:00,91,14,29.3,26.8,25.6
2024-09-27T00:00,86,3,32,28.1,25.6
2024-09-28T00:00,83,2,33.2,29,26.3
2024-09-29T00:00,83,6.7,33.2,29.3,26.6
2024-09-30T00:00,84,11.2,32.8,29.4,26.6
2024-10-01T00:00,87,23.1,32.1,28.6,26.6
2024-10-02T00:00,84,36,33.8,29,26.5
2024-10-03T00:00,93,39.5,27,26.4,26
2024-10-04T00:00,89,17.6,29.7,27.3,25.9
2024-10-05T00:00,92,17.6,28.1,26.6,25.6
2024-10-06T00:00,85,2.5,31.7,28.2,25.4
2024-10-07T00:00,84,7.9,32.3,28.6,25.9
2024-10-08T00:00,85,9.9,32.6,28.3,25.9
2024-10-09T00:00,84,11.5,32.1,27.9,25.2
2024-10-10T00:00,84,6,31.7,27.8,25.3
2024-10-11T00:00,82,20.3,33.3,28.3,25
2024-10-12T00:00,84,22.4,32.5,28.1,24.7
2024-10-13T00:00,81,1.2,33,28.8,25.2
2024-10-14T00:00,79,0,32.9,29.1,25.8
2024-10-15T00:00,75,0.2,32.9,29,25.5
2024-10-16T00:00,79,5.8,32.7,28.2,24.6
2024-10-17T00:00,82,9.7,32.8,27.6,24.9
2024-10-18T00:00,85,22.3,31.5,27.3,24.6
2024-10-19T00:00,84,4.8,31.3,27.6,24.9
2024-10-20T00:00,76,0,32.4,28,24.4
2024-10-21T00:00,74,0,32.8,28,23.7
2024-10-22T00:00,74,0,34.2,29.3,25.1
2024-10-23T00:00,83,0,30.1,28.1,26.3
2024-10-24T00:00,82,0.3,28.9,26.2,24.5
2024-10-25T00:00,83,2,31.2,26.9,23.8
2024-10-26T00:00,79,1.3,32.3,28.3,25.6
2024-10-27T00:00,76,0,33.5,29,25.4
2024-10-28T00:00,74,0,33.5,29.2,25.7
2024-10-29T00:00,75,0.6,32.7,28.9,25.9
2024-10-30T00:00,79,1,32.3,28.4,25.3
2024-10-31T00:00,80,2.9,32.3,28.1,25
2024-11-01T00:00,71,0.4,33.1,28.5,24.6
2024-11-02T00:00,76,0,32.6,27.6,23.7
2024-11-03T00:00,76,0,31.7,27.2,23.5
2024-11-04T00:00,74,0,31.8,27.5,24.1
2024-11-05T00:00,76,1,31.9,27.1,24.3
2024-11-06T00:00,76,0.5,29.6,26.5,23.3
2024-11-07T00:00,76,0,31.8,26.4,22
2024-11-08T00:00,75,0,31.7,26.6,22.5
2024-11-09T00:00,73,0,32.1,26.3,21.7
2024-11-10T00:00,72,0,32.3,26.7,21.8
2024-11-11T00:00,70,0,31.8,26.8,22.2
2024-11-12T00:00,67,0,31.9,26.6,23.1
2024-11-13T00:00,68,0,30.9,25.6,21.4
2024-11-14T00:00,71,0,31,25.3,20.5
2024-11-15T00:00,72,0,30.3,24.6,19.7
2024-11-16T00:00,72,0,29.6,24.4,19.9
2024-11-17T00:00,68,0,28.9,23.9,20.1
2024-11-18T00:00,70,0,29.6,23.8,18.8
2024-11-19T00:00,71,0,29.9,23.5,17.9
2024-11-20T00:00,66,0,30,23.1,18.2
2024-11-21T00:00,66,0,29.3,23,17.2
2024-11-22T00:00,67,0,29.1,23.3,18.3
2024-11-23T00:00,74,0,28.1,22.5,17.5
2024-11-24T00:00,71,0,27.7,22.4,18.1
2024-11-25T00:00,73,0,28.1,22.1,17.6
2024-11-26T00:00,69,0,27.8,22.3,18.1
2024-11-27T00:00,72,0,28.4,22.5,18.1
2024-11-28T00:00,70,0,29.4,23,17.6
2024-11-29T00:00,68,0,30.4,24.2,19.5
2024-11-30T00:00,68,2.4,30.2,24.4,20.5
2024-12-01T00:00,68,6,30.1,24.1,19.9
2024-12-02T00:00,62,0,28.1,23.4,19.1
2024-12-03T00:00,64,0,29.6,23.2,18.1
2024-12-04T00:00,68,0,28.2,22,17
2024-12-05T00:00,68,0,28.1,22.2,17.6
2024-12-06T00:00,67,0,27.6,21.2,15.7
2024-12-07T00:00,61,0,27.2,20.5,15.1
2024-12-08T00:00,63,0,26.7,19.7,14.4
2024-12-09T00:00,71,0,26.1,20.2,15.1
2024-12-10T00:00,74,0,26.1,21.1,17.4
2024-12-11T00:00,76,0,23.9,19.1,15.2
2024-12-12T00:00,80,0,23.5,18.4,14.4
2024-12-13T00:00,83,0,23.3,18,13.8
2024-12-14T00:00,80,0,23.9,18.7,14.2
2024-12-15T00:00,76,0,25.4,18.9,13.4
2024-12-16T00:00,74,0,27.2,19,12.4
2024-12-17T00:00,71,0,28,20.4,14.1
2024-12-18T00:00,67,0,27.5,20.9,16.4
2024-12-19T00:00,71,0,26.4,19.8,14.3
2024-12-20T00:00,70,0,26.3,20,15.1
2024-12-21T00:00,81,0,21.5,19.1,16.5
2024-12-22T00:00,79,0,25.7,19.1,14
2024-12-23T00:00,72,0,27.1,20.3,14.7
2024-12-24T00:00,69,0,26.4,20,14.5
2024-12-25T00:00,69,0,26.2,20.6,16.1
2024-12-26T00:00,67,0,27.2,20.7,15.4
2024-12-27T00:00,67,0,26.4,20.1,14.8
2024-12-28T00:00,70,0,27.4,20.5,15
2024-12-29T00:00,72,0,27.3,21,16
2024-12-30T00:00,71,0,27.1,21.1,16.3
2024-12-31T00:00,74,0,24.2,19.6,15.6
