time,relative_humidity_2m_mean (%),precipitation_sum (mm),temperature_2m_max (°C),temperature_2m_mean (°C),temperature_2m_min (°C)
2024-01-01T00:00,72,0,27.6,20.3,15.9
2024-01-02T00:00,85,0,22.1,17.8,14.5
2024-01-03T00:00,87,0,21.8,17.7,14
2024-01-04T00:00,86,0,23.2,18.4,14.4
2024-01-05T00:00,86,0,23.8,18.4,14.7
2024-01-06T00:00,80,0,24.8,18.8,13.5
2024-01-07T00:00,76,0,25.4,19.9,15.4
2024-01-08T00:00,81,0,23.9,19.2,15.2
2024-01-09T00:00,86,0,22.3,18.1,14.7
2024-01-10T00:00,85,0,21.9,17.3,13.3
2024-01-11T00:00,83,0,21.9,17.4,14
2024-01-12T00:00,84,0,20.6,16.1,12.3
2024-01-13T00:00,86,0,20.4,16.4,13
2024-01-14T00:00,87,0,19.2,16,12.9
2024-01-15T00:00,84,0,19.5,16.6,14.6
2024-01-16T00:00,84,0,19,15.9,13.3
2024-01-17T00:00,84,0,19.4,15.5,12.1
2024-01-18T00:00,85,0,20.6,16.4,12.3
2024-01-19T00:00,79,0.1,23.3,18.7,15.3
2024-01-20T00:00,82,0,21.8,17.2,13.3
2024-01-21T00:00,84,0,20.4,16.2,12.8
2024-01-22T00:00,83,0,18.6,15.1,11.6
2024-01-23T00:00,84,0,20.5,15.4,10.3
2024-01-24T00:00,82,0,22.7,17.3,12.4
2024-01-25T00:00,80,0,22.5,18.2,14.3
2024-01-26T00:00,75,0,23,17.9,13.9
2024-01-27T00:00,70,0,22.7,16.7,11.5
2024-01-28T00:00,66,0,24,16.8,10.9
2024-01-29T00:00,64,0,24.5,17.9,12.4
2024-01-30T00:00,67,0,25.8,19.1,13.1
2024-01-31T00:00,75,0.5,24.5,20.6,17
2024-02-01T00:00,82,0.6,25.2,20.8,17.5
2024-02-02T00:00,80,2.5,25.9,21.7,18.5
2024-02-03T00:00,67,0,26.3,21.4,17
2024-02-04T00:00,61,0,26.7,20.2,14.2
2024-02-05T00:00,66,0,27.2,21.1,15.7
2024-02-06T00:00,76,0.1,25.4,21.2,17.9
2024-02-07T00:00,70,0,25.7,21.4,19
2024-02-08T00:00,62,0,24.5,19.1,13.9
